Percent_complete_for_all_immunizations,County
92.9,PIERCE
92.2,KING
95.4,PIERCE
86.8,GRAYS HARBOR
84.1,SNOHOMISH
98.3,FRANKLIN
82.1,KING
90.6,SNOHOMISH
88.5,KING
68.8,KING
86.1,KING
83.4,GRANT
92.3,SNOHOMISH
95.1,KING
73.3,CLARK
95.9,PIERCE
97,WHITMAN
92.3,SNOHOMISH
91.4,KING
92.6,BENTON
73.5,CHELAN
92.9,KING
87.1,KING
83.5,KING
95.2,GRANT
94.9,GRANT
100,KING
94.5,KITSAP
91.8,KING
96,LEWIS
95.3,SNOHOMISH
90.4,SNOHOMISH
94.7,KING
90.9,LEWIS
91.4,THURSTON
94.5,PIERCE
89,PIERCE
94,PIERCE
93.9,SKAGIT
87.5,MASON
89.5,SPOKANE
48.3,CLARK
100,YAKIMA
92.3,THURSTON
93.4,KING
56.6,CLARK
94.6,KING
92,SPOKANE
83.8,SNOHOMISH
90.3,KING
92.1,PIERCE
76,STEVENS
58.4,KING
91.4,WHATCOM
92.9,KITTITAS
86.6,KING
86.3,CLARK
,WHATCOM
91.8,KITSAP
94.5,KING
81.9,SNOHOMISH
89.1,KING
87.7,WHATCOM
94.1,SNOHOMISH
85.3,KING
91.5,KING
95.2,KITSAP
94.6,KING
83.1,PIERCE
93.7,THURSTON
88.2,KING
93.5,KING
79.6,KING
78.9,COWLITZ
91.5,SPOKANE
93.4,PIERCE
92.5,KING
77.5,KING
93.1,CLARK
97.9,PIERCE
94.5,WHATCOM
95.6,KING
93.1,SPOKANE
94.5,PIERCE
90.2,SKAGIT
96.3,PIERCE
90.5,SPOKANE
91.7,BENTON
86.2,BENTON
84.8,KING
81,CLARK
69.4,CLARK
96.6,PIERCE
81.8,CLARK
96.6,PIERCE
,KING
,KING
84,KING
80,SPOKANE
76.5,PIERCE
90.9,WHATCOM
68.3,CLARK
41.7,CLALLAM
60.2,SPOKANE
82.6,SKAGIT
96,PIERCE
97.8,CHELAN
94.2,LEWIS
96.6,SNOHOMISH
98.9,KING
96.7,SNOHOMISH
95.5,CLALLAM
88.7,CLALLAM
86.7,CLALLAM
79.1,CLALLAM
,CLALLAM
88.1,STEVENS
82.8,THURSTON
93.2,CLARK
94.3,PIERCE
94.7,KING
96.2,PIERCE
89.9,KING
93.6,SNOHOMISH
89.4,SPOKANE
87.4,CLALLAM
85.5,WHITMAN
92.2,KING
95.6,PIERCE
78.9,KING
94.2,YAKIMA
96.9,PIERCE
89.2,KING
94.9,PIERCE
,PIERCE
88.6,SPOKANE
91,SPOKANE
91.1,SPOKANE
87.9,KING
55.2,KING
77,SAN JUAN
87.3,SAN JUAN
73.9,SAN JUAN
80.5,GRANT
81.1,PIERCE
31,CLARK
92.5,KING
95.3,CLARK
91.3,PIERCE
90.3,SNOHOMISH
88.3,KING
92.1,LEWIS
90.8,CLARK
93.6,GRANT
,WHATCOM
69,CLARK
75,WHITMAN
80.3,WHITMAN
90.1,SPOKANE
78.7,THURSTON
92.9,SNOHOMISH
96.8,YAKIMA
98.9,YAKIMA
83.6,KING
87,WALLA WALLA
92.5,SPOKANE
93.1,CLARK
,SAN JUAN
77.9,PIERCE
95.9,KITSAP
92.4,SNOHOMISH
88.8,KING
91.5,CLARK
90.8,PIERCE
87,WHATCOM
94.1,CLARK
95.7,GRANT
83.6,KING
87.1,THURSTON
86.6,STEVENS
93.3,KING
96.4,PIERCE
94.4,PIERCE
96.9,YAKIMA
86.1,KING
93.2,PIERCE
94.5,KING
94.8,SNOHOMISH
66.7,CHELAN
91.6,PIERCE
97.5,KING
88.7,KING
88.9,KLICKITAT
84.9,SNOHOMISH
82.4,CLARK
93.1,KLICKITAT
91.4,KING
92,SPOKANE
81,SNOHOMISH
,KLICKITAT
95.6,KLICKITAT
91.5,KLICKITAT
91.7,KLICKITAT
85.3,SPOKANE
66.7,CLARK
93.4,PIERCE
100,THURSTON
89.8,SNOHOMISH
88.9,FERRY
95.8,PIERCE
86.2,KING
95.9,PIERCE
92.7,OKANOGAN
91.7,THURSTON
96.6,KING
100,YAKIMA
83.2,YAKIMA
,YAKIMA
98.1,YAKIMA
98.1,YAKIMA
94.4,SNOHOMISH
88.9,SNOHOMISH
92.4,SPOKANE
96.1,GRANT
86.6,PIERCE
98.6,DOUGLAS
62.6,JEFFERSON
,ASOTIN
88.3,MASON
94,KING
91.6,CLARK
96.9,PIERCE
80,GRAYS HARBOR
75.6,SPOKANE
100,SNOHOMISH
88.9,KING
82.3,KING
94.9,KITSAP
38.4,COWLITZ
92.9,WALLA WALLA
,KING
87.7,SPOKANE
91.9,SPOKANE
81.3,KING
95.4,KING
86.3,CLALLAM
78.6,SAN JUAN
66.1,THURSTON
94.9,SNOHOMISH
94.4,WHITMAN
90.6,THURSTON
76,SNOHOMISH
91,SPOKANE
90.9,SPOKANE
76.4,CLALLAM
78.5,KING
96.9,KING
96.2,BENTON
85.5,WHATCOM
72.7,PIERCE
93.4,PIERCE
96.4,GRAYS HARBOR
84.3,PIERCE
91.8,PIERCE
36.7,KING
71.4,SNOHOMISH
79.8,WHATCOM
79.2,CLARK
77,CLARK
,YAKIMA
99.7,YAKIMA
86.4,LINCOLN
82.2,LINCOLN
98.8,YAKIMA
91.8,PIERCE
87.1,CLARK
99.3,PIERCE
91.8,CLARK
83.7,MASON
76.9,KING
97.5,SNOHOMISH
